timestamp,accel_x,accel_y,accel_z,label
34520,0.2988,-0.2939,0.6675,loose
34525,-0.0896,-0.0579,0.4766,loose
34530,-0.2092,-0.4744,0.2625,loose
34535,-0.3296,0.0422,0.4541,loose
34540,0.1440,-0.0386,0.2131,loose
34545,0.3882,-0.1299,0.3337,loose
34550,0.0532,0.0920,0.4888,loose
34555,-0.0789,-0.1382,0.2605,loose
34560,-0.2617,-0.0918,0.4307,loose
34565,0.1985,0.1440,0.5347,loose
34570,0.4651,-0.0811,0.4238,loose
34575,0.5225,0.1233,1.3066,loose
34580,0.0317,0.1311,0.6260,loose
34585,-0.4226,-0.1667,0.1797,loose
34590,-0.1831,0.3137,0.4258,loose
34595,0.1943,-0.0610,0.1963,loose
34600,0.1943,-0.0610,0.1963,loose
34605,-0.0239,0.0964,0.5339,loose
34610,-0.2383,-0.3464,0.2957,loose
34615,-0.0818,0.1008,0.4114,loose
34620,0.1531,0.0974,0.7571,loose
34625,0.3381,-0.1826,0.3987,loose
34630,0.1316,0.0354,0.8135,loose
34635,-0.0630,-0.1267,0.7499,loose
34640,-0.2634,-0.2046,0.4265,loose
34645,0.0847,0.0847,0.5784,loose
34650,0.0667,0.1382,0.6118,loose
34655,0.2373,-0.0024,0.7917,loose
34660,-0.0171,0.1021,0.6113,loose
34665,-0.0513,-0.2922,0.3210,loose
34670,-0.0095,0.3167,0.7849,loose
34675,0.3303,-0.0898,0.4238,loose
34680,0.4387,0.0847,0.7708,loose
34685,0.0437,0.1677,0.7458,loose
34690,0.0728,-0.1978,0.4080,loose
34695,0.0798,0.1316,0.5867,loose
34700,0.2185,0.0171,0.0798,loose
34705,0.3188,-0.0969,-0.0322,loose
34710,0.0312,0.0679,0.2109,loose
34715,-0.0889,1.2549,1.2549,loose
34720,-0.0889,-0.1572,0.1086,loose
34725,0.0454,-0.0247,0.7432,loose
34730,-0.1460,-0.1489,0.7512,loose
34735,0.0735,-0.3745,1.0544,loose
34740,-0.0693,-0.1907,0.5706,loose
34745,-0.2292,-0.7375,0.4065,loose
34750,-0.1853,-0.1003,0.6194,loose
34755,0.2139,-0.4634,0.2073,loose
34760,0.2590,-0.4458,0.6575,loose
34765,-0.0879,-0.1067,0.4175,loose
34770,-0.1711,-0.5635,0.1982,loose
34775,-0.0908,0.0413,0.3564,loose
34780,-0.2192,0.1221,0.5664,loose
34785,0.2200,-0.2219,0.2778,loose
34790,0.3437,-0.2002,0.6960,loose
34795,0.0369,0.0295,0.6458,loose
34800,-0.0979,-0.4585,0.3596,loose
34805,-0.3005,-0.2598,0.4917,loose
34810,0.1567,-0.1160,0.3242,loose
34815,0.3313,-0.2893,0.3948,loose
34820,0.3313,-0.2893,0.3948,loose
34825,0.3313,-0.2893,0.3948,loose
34830,-0.2043,-0.7014,0.4189,loose
34835,-0.0681,0.0623,0.5916,loose
34840,0.2642,-0.3022,0.2878,loose
34845,0.1858,-0.1550,0.7380,loose
34850,-0.0247,0.0654,0.5454,loose
34855,-0.0127,-0.3762,0.5706,loose
34860,-0.0354,0.3245,0.8867,loose
34865,0.2900,-0.1208,0.5027,loose
34870,0.4182,-0.0173,0.6736,loose
34875,0.1561,-0.0157,-0.0157,loose
34880,-0.0449,-0.4272,0.2214,loose
34885,-0.2429,-0.6096,-0.3123,loose
34890,-0.0815,-0.0562,0.1470,loose
34895,0.0642,-0.2632,0.0044,loose
34900,-0.1042,-0.4478,0.4690,loose
34905,-0.1765,-0.3118,0.2756,loose
34910,-0.4624,-0.7173,0.3491,loose
34915,-0.0840,-0.0205,0.7729,loose
34920,0.1057,-0.3145,0.4194,loose
34925,0.4705,-0.3044,0.7834,loose
34930,0.1548,0.1123,0.6650,loose
34935,0.3872,-0.1206,1.0581,loose
34940,-0.4922,0.4443,0.6160,loose
34945,-0.0093,0.2019,0.0137,loose
34950,0.4851,0.2527,0.3057,loose
34955,0.3203,0.5706,0.9692,loose
34960,0.0063,0.0686,0.1536,loose
34965,0.0767,0.2234,0.4463,loose
34970,0.1367,0.2026,0.5659,loose
34975,0.2937,-0.2117,0.2351,loose
34980,0.3472,-0.2371,0.7778,loose
34985,-0.0413,-0.0244,0.4670,loose
34990,-0.2842,-0.4487,0.3765,loose
34995,0.1189,-0.1597,0.7754,loose
35000,0.0615,-0.0759,0.7141,loose
35005,0.5002,-0.1038,0.7046,loose
35010,-0.0332,0.1604,0.5027,loose
35015,-0.4426,-0.7107,-0.6980,loose
35020,-0.5496,-0.0640,0.2632,loose
35025,0.1802,-0.0947,0.3525,loose
35030,0.7576,0.1484,1.0706,loose
35035,0.7576,0.1484,1.0706,loose
35040,-0.1406,-0.0762,0.2219,loose
35045,-0.0571,0.0400,0.6499,loose
35050,0.0996,0.1638,0.7200,loose
35055,0.4612,-0.0103,0.4709,loose
35060,0.1719,0.1370,0.8259,loose
35065,0.0576,-0.0076,0.3347,loose
35070,-0.0366,-0.1409,0.3530,loose
35075,0.0720,0.2100,0.4441,loose
35080,0.3848,-0.0879,0.2085,loose
35085,0.0139,0.0649,0.4363,loose
35090,-0.0410,-0.1089,0.4294,loose
35095,-0.1895,-0.5981,0.4539,loose
