timestamp,accel_x,accel_y,accel_z,label
151736,0.8335,-0.0103,0.6340,normal
151741,0.4839,-0.1218,0.6348,normal
151746,-0.3752,0.1162,0.4873,normal
151751,-0.7668,0.2295,0.4585,normal
151756,-0.5325,-0.3101,0.1006,normal
151761,0.3081,-0.5117,0.2170,normal
151766,0.7993,-0.1372,0.4355,normal
151771,0.7754,-0.0825,0.6775,normal
151776,0.2227,-0.1025,0.5491,normal
151781,-0.5989,0.2610,0.4932,normal
151786,-0.7664,0.1636,0.3640,normal
151791,-0.3120,-0.4399,0.0789,normal
151796,0.5403,-0.4128,0.2986,normal
151801,0.8203,-0.0608,0.5159,normal
151806,0.6868,-0.1372,0.7017,normal
151811,-0.0566,-0.0554,0.4863,normal
151816,-0.7195,0.2759,0.5085,normal
151821,-0.6958,-0.0210,0.2324,normal
151826,-0.0479,-0.5117,0.1169,normal
151831,0.6963,-0.2705,0.3657,normal
151836,0.8296,-0.0415,0.6001,normal
151841,0.5503,-0.1741,0.6636,normal
151846,-0.2981,0.0588,0.4729,normal
151851,-0.7529,0.2949,0.4875,normal
151856,-0.5815,-0.2100,0.1130,normal
151861,0.2231,-0.5330,0.1824,normal
151866,0.7817,-0.1792,0.4153,normal
151871,0.8008,-0.0720,0.6653,normal
151876,0.3413,-0.1365,0.5903,normal
151881,-0.5110,0.2021,0.4858,normal
151886,-0.7708,0.2209,0.4128,normal
151891,-0.4377,-0.3699,0.0967,normal
151896,0.4131,-0.4729,0.2666,normal
151901,0.7969,-0.1003,0.4771,normal
151906,0.7458,-0.1328,0.7021,normal
151911,0.1169,-0.0867,0.5264,normal
151916,-0.6545,0.2856,0.5120,normal
151921,-0.7573,0.0945,0.3196,normal
151926,-0.2512,-0.5159,0.0833,normal
151931,0.5698,-0.4094,0.3264,normal
151936,0.8115,-0.0273,0.5474,normal
151941,0.6826,-0.1096,0.7004,normal
151946,-0.1035,0.0154,0.5002,normal
151951,-0.7153,0.2996,0.5122,normal
151956,-0.7019,-0.0928,0.2085,normal
151961,-0.0298,-0.5649,0.1118,normal
151966,0.7114,-0.2654,0.3738,normal
151971,0.8267,-0.0356,0.6038,normal
151976,0.5505,-0.1785,0.6692,normal
151981,-0.2866,0.0676,0.4751,normal
151986,-0.7532,0.3005,0.4951,normal
151991,-0.5842,-0.1943,0.1323,normal
151996,0.1814,-0.5532,0.1790,normal
152001,0.7649,-0.1768,0.4045,normal
152006,0.8018,-0.0603,0.6528,normal
152011,0.3748,-0.1584,0.6128,normal
152016,-0.4504,0.1733,0.4819,normal
152021,-0.7571,0.2544,0.4475,normal
152026,-0.4751,-0.3318,0.0923,normal
152031,0.3599,-0.4958,0.2388,normal
152036,0.7925,-0.0991,0.4614,normal
152041,0.7515,-0.0615,0.6917,normal
152046,0.2012,-0.1230,0.5488,normal
152051,-0.5881,0.2463,0.4958,normal
152056,-0.7581,0.1450,0.3542,normal
152061,-0.3394,-0.4517,0.0828,normal
152066,0.5002,-0.4275,0.2957,normal
152071,0.8132,-0.0271,0.5146,normal
152076,0.7070,-0.1243,0.7107,normal
152081,0.0132,-0.0776,0.5027,normal
152086,-0.6741,0.2805,0.4998,normal
152091,-0.7258,0.0376,0.2646,normal
152096,-0.1702,-0.5183,0.0894,normal
152101,0.6279,-0.3616,0.3354,normal
